bsn,age,has_partner,income,net_worth,work_years,residence_years,is_student,study_grant,zorgtoeslag_eligible,zorgtoeslag_amount,aow_eligible,aow_amount,aow_accrual
999160531,49,True,41917.0,8549.0,21.79836394699849,32.25860003409953,False,0.0,True,1858.01,False,0.0,0.0
999207324,53,True,45350.0,385929.0,19.08203288861636,33.71447494386312,False,0.0,True,0.0,False,0.0,0.0
999561292,40,True,29722.0,123359.0,12.702109782204543,21.99094435958387,False,0.0,True,2377.03,False,0.0,0.0
999306497,37,True,106503.0,125506.0,19.036936688812716,19.068897854399122,False,0.0,True,0.0,False,0.0,0.0
999960507,72,False,33383.0,24108.0,32.61250411475265,38.74654783788855,False,0.0,True,1193.73,True,1380.0,1.0
999318334,80,True,71252.0,45385.0,46.42416333837871,50.0,False,0.0,True,0.0,True,952.0,1.0
999579966,74,True,39686.0,79492.0,32.90426780348967,50.0,False,0.0,True,1952.96,True,952.0,1.0
999483319,44,False,57706.0,14656.0,19.57502108900143,26.563574860496818,False,0.0,True,0.0,False,0.0,0.0
999768871,61,True,74584.0,9768.0,27.550507209931684,36.234387296841845,False,0.0,True,0.0,False,0.0,0.0
999474427,60,True,14561.0,61840.0,36.06334778129848,38.12217603126314,False,0.0,True,3022.28,False,0.0,0.0
999386454,20,False,14135.0,78145.0,2.5646531695665855,4.382363428350327,False,0.0,True,1555.4,False,0.0,0.0
999427762,63,False,80960.0,14546.0,36.912484204452525,42.94413476022174,False,0.0,True,0.0,False,0.0,0.0
999869550,31,True,38186.0,116388.0,12.65269409877796,12.93240512176717,False,0.0,True,2016.8,False,0.0,0.0
999321815,31,True,35774.0,86120.0,11.156124163140895,11.43063944056986,False,0.0,True,2119.46,False,0.0,0.0
999654659,55,True,32628.0,53344.0,33.42888704655454,37.38699542508618,False,0.0,True,2253.35,False,0.0,0.0
999772940,56,True,53349.0,55009.0,22.274014710210345,37.23200858777697,False,0.0,True,0.0,False,0.0,0.0
999314972,55,False,32719.0,10082.0,24.631449730625054,32.777144388246484,False,0.0,True,1206.21,False,0.0,0.0
999324428,82,True,55158.0,35263.0,50.0,50.0,False,0.0,True,0.0,True,952.0,1.0
999528558,88,True,30678.0,15736.0,44.3013708310123,50.0,False,0.0,True,2336.34,True,952.0,1.0
999548255,84,True,25274.0,77575.0,42.23853522689686,48.856091856586495,False,0.0,True,2566.34,True,952.0,1.0
999126348,86,True,47359.0,292543.0,50.0,50.0,False,0.0,True,0.0,True,952.0,1.0
999492272,80,True,43643.0,16502.0,50.0,50.0,False,0.0,True,1784.55,True,952.0,1.0
999208820,77,True,64623.0,19281.0,50.0,50.0,False,0.0,True,0.0,True,952.0,1.0
999476996,26,True,54280.0,10086.0,5.665687815693612,10.436154354467755,False,0.0,True,0.0,False,0.0,0.0
999803191,18,True,31352.0,146618.0,2.3485308386393005,2.7065965307336097,False,0.0,False,0.0,False,0.0,0.0
999600765,32,True,9343.0,12824.0,13.69357525627876,12.360265479896247,False,0.0,True,3244.36,False,0.0,0.0
999689255,23,True,35592.0,27325.0,5.246656374049149,5.9138712595371326,False,0.0,True,2127.2,False,0.0,0.0
999514275,47,True,31565.0,64406.0,17.1057855469602,19.579853101027883,False,0.0,True,2298.59,False,0.0,0.0
999862628,39,True,47096.0,341878.0,16.272940210400293,19.654830080511694,False,0.0,True,0.0,False,0.0,0.0
999544278,22,True,27929.0,410971.0,4.696732047098484,6.282079426602229,False,0.0,True,0.0,False,0.0,0.0
999848644,19,True,46002.0,139193.0,3.199302621261918,2.788508424393001,True,3069.0,True,1671.9,False,0.0,0.0
999705751,30,True,35304.0,59740.0,10.62857386538748,12.22697869056638,False,0.0,True,2139.46,False,0.0,0.0
999415834,29,True,30617.0,702861.0,7.876797236799927,13.112399920892251,False,0.0,True,0.0,False,0.0,0.0
999157490,34,True,29630.0,241202.0,16.306606701575248,17.667686446277536,False,0.0,True,0.0,False,0.0,0.0
999579861,35,True,16741.0,20997.0,15.805033390849875,12.34805703016361,False,0.0,True,2929.5,False,0.0,0.0
999633938,47,True,65622.0,18763.0,25.456823299104467,30.119600367396394,False,0.0,True,0.0,False,0.0,0.0
999532609,49,True,43894.0,207778.0,18.37853130851785,23.919795245743448,False,0.0,True,0.0,False,0.0,0.0
999480678,33,True,30331.0,99665.0,9.449263315440003,15.655422832551736,False,0.0,True,2351.11,False,0.0,0.0
999643729,33,True,21997.0,147416.0,12.46274145498818,12.827903896064987,False,0.0,False,0.0,False,0.0,0.0
999199046,68,False,52204.0,29193.0,45.0550252107609,44.13535465381747,False,0.0,True,0.0,True,1380.0,1.0
999807624,68,True,18166.0,68608.0,31.91068614913753,42.972616308762575,False,0.0,False,0.0,True,952.0,1.0
999484366,59,True,59355.0,53280.0,27.65856937853768,39.45697893215842,False,0.0,True,0.0,False,0.0,0.0
999729733,62,True,32764.0,159422.0,33.85103296476817,35.72296360619161,False,0.0,False,0.0,False,0.0,0.0
999494783,63,True,73430.0,54315.0,26.62937909557532,41.44103082007808,False,0.0,True,0.0,False,0.0,0.0
